#     size,       rate(B/cycle),      cycles,  count
      1024,               22.26,        4612,    100
      2048,               19.32,       10696,    100
      4096,               24.09,       17052,    100
      8192,               27.40,       29996,    100
     16384,               23.44,       69964,    100
     32768,                7.82,      419188,    100
     65536,                7.66,      855480,    100
    131072,                7.75,     1692104,    100
    262144,                6.98,     3753348,    100
    524288,                6.72,     7800892,    100
   1048576,                6.50,    16143252,    100
   2097152,                6.36,    32967352,    100
   4194304,                6.28,    66799560,    100
   8388608,                6.29,   133361424,    100
  16777216,                6.25,   268636432,    100
  33554432,                5.29,   633979540,    100
  67108864,                3.75,  1788253624,    100
 134217728,                3.59,  3736780848,    100
 268435456,                3.58,  7490082832,    100
 536870912,                3.58, 14997750172,    100
1073741824,                3.13, 34313132500,    100
