#     size,       rate(B/cycle),      cycles,  count
      1024,               16.79,        6156,    100
      2048,               14.52,       14124,    100
      4096,                8.38,       48984,    100
      8192,                6.81,      120336,    100
     16384,                6.26,      261996,    100
     32768,                5.86,      559632,    100
     65536,                5.42,     1209584,    100
    131072,                5.29,     2477248,    100
    262144,                5.30,     4947888,    100
    524288,                5.29,     9913980,    100
   1048576,                5.29,    19833332,    100
   2097152,                5.29,    39654068,    100
   4194304,                5.29,    79328076,    100
   8388608,                5.29,   158626432,    100
  16777216,                5.28,   317485820,    100
  33554432,                4.80,   699424096,    100
  67108864,                3.69,  1818253976,    100
 134217728,                3.61,  3720912264,    100
 268435456,                3.59,  7468430720,    100
 536870912,                3.58, 14978104732,    100
1073741824,                3.58, 30015040772,    100
