#     size,       rate(B/cycle),      cycles,  count
      1024,                0.04,       23832,      1
      2048,                0.05,       44188,      1
      4096,                0.05,       84784,      1
      8192,                0.05,      166368,      1
     16384,                0.05,      329932,      1
     32768,                0.05,      667644,      1
     65536,                0.05,     1347968,      1
    131072,                0.05,     2700088,      1
    262144,                0.05,     5415880,      1
    524288,                0.05,    10800144,      1
   1048576,                0.05,    21590132,      1
   2097152,                0.05,    43173888,      1
   4194304,                0.05,    86316776,      1
   8388608,                0.05,   172660220,      1
  16777216,                0.05,   345436488,      1
  33554432,                0.05,   694309932,      1
  67108864,                0.05,  1394565984,      1
 134217728,                0.05,  2794374532,      1
 268435456,                0.05,  5600216720,      1
 536870912,                0.05, 11259239240,      1
1073741824,                0.05, 22504204812,      1
