#     size,       rate(B/cycle),      cycles,  count
      1024,               18.96,        5464,    100
      2048,               18.62,       11044,    100
      4096,               23.68,       17376,    100
      8192,               26.43,       31084,    100
     16384,               23.85,       68720,    100
     32768,                7.74,      423604,    100
     65536,                7.72,      849312,    100
    131072,                7.52,     1742060,    100
    262144,                7.51,     3491932,    100
    524288,                7.41,     7074148,    100
   1048576,                7.30,    14355804,    100
   2097152,                7.26,    28883408,    100
   4194304,                7.23,    58022408,    100
   8388608,                7.12,   117820576,    100
  16777216,                6.83,   245585992,    100
  33554432,                2.66,  1262679924,    100
  67108864,                2.62,  2562491592,    100
 134217728,                2.61,  5134805320,    100
 268435456,                2.50, 10732378480,    100
 536870912,                2.64, 20308418520,    100
1073741824,                2.65, 40552830276,    100
